* T-Spice 13.00 Simulation	Mon Feb 11 14:44:01 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC2.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC2.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\counter_TDC2.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 14                MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 4       
*   Independent nodes - 7                    Boundary nodes - 5       
*         Total nodes - 12      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-010   1e-007
TRANSIENT ANALYSIS
Time<s>        v(Stop,Gnd)<V>  v(Start,Gnd)<V>  v(Out,Gnd)<V>  v(Clock,Gnd)<V>  v(Time,Gnd)<V>
 1.630022e-008  0.0000e+000  0.0000e+000  7.7036e-003  0.0000e+000  3.3880e-003
 1.650022e-008  0.0000e+000  0.0000e+000 -7.5073e-003  0.0000e+000 -2.8157e-003
 1.670022e-008  0.0000e+000  0.0000e+000  7.2588e-003  0.0000e+000  2.3358e-003
 1.690022e-008  0.0000e+000  0.0000e+000 -6.9102e-003  0.0000e+000 -1.9332e-003
 1.710022e-008  0.0000e+000  0.0000e+000  6.5507e-003  0.0000e+000  1.6002e-003
 1.730022e-008  0.0000e+000  0.0000e+000 -6.1468e-003  0.0000e+000 -1.3238e-003
 1.750022e-008  0.0000e+000  0.0000e+000  5.7538e-003  0.0000e+000  1.0970e-003
 1.770022e-008  0.0000e+000  0.0000e+000 -5.3481e-003  0.0000e+000 -9.0968e-004
 1.790022e-008  0.0000e+000  0.0000e+000  4.9639e-003  0.0000e+000  7.5644e-004
 1.810022e-008  0.0000e+000  0.0000e+000 -4.5839e-003  0.0000e+000 -6.3009e-004
 1.830022e-008  0.0000e+000  0.0000e+000  4.2295e-003  0.0000e+000  5.2673e-004
 1.850022e-008  0.0000e+000  0.0000e+000 -3.9768e-003  0.0000e+000 -4.4254e-004
 1.870022e-008  0.0000e+000  0.0000e+000  3.7463e-003  0.0000e+000  3.7476e-004
 1.890022e-008  0.0000e+000  0.0000e+000 -3.4932e-003  0.0000e+000 -3.1675e-004
 1.910022e-008  0.0000e+000  0.0000e+000  3.2733e-003  0.0000e+000  2.7026e-004
 1.930022e-008  0.0000e+000  0.0000e+000 -3.0331e-003  0.0000e+000 -2.3033e-004
 1.950022e-008  0.0000e+000  0.0000e+000  2.8296e-003  0.0000e+000  1.9829e-004
 1.970022e-008  0.0000e+000  0.0000e+000 -2.6088e-003  0.0000e+000 -1.7059e-004
 1.990022e-008  0.0000e+000  0.0000e+000  2.4248e-003  0.0000e+000  1.4827e-004
 2.000000e-008  0.0000e+000  0.0000e+000 -1.9964e-003  0.0000e+000 -1.1228e-004
 2.0001000e-008  0.0000e+000  0.0000e+000  2.0538e-001  3.3000e+000  9.0998e-002
 2.0001315e-008  0.0000e+000  0.0000e+000  1.9214e-001  3.3000e+000  8.8371e-002
 2.000446e-008  0.0000e+000  0.0000e+000  1.0663e-001  3.3000e+000  6.7630e-002
 2.002104e-008  0.0000e+000  0.0000e+000 -6.6708e-002  3.3000e+000  2.8090e-003
 2.004497e-008  0.0000e+000  0.0000e+000  4.6331e-003  3.3000e+000 -9.4562e-003
 2.009883e-008  0.0000e+000  0.0000e+000 -8.2381e-003  3.3000e+000 -1.6886e-003
 2.029155e-008  0.0000e+000  0.0000e+000  7.6784e-003  3.3000e+000  1.3673e-003
 2.049155e-008  0.0000e+000  0.0000e+000 -7.0866e-003  3.3000e+000 -1.0962e-003
 2.069155e-008  0.0000e+000  0.0000e+000  6.5149e-003  3.3000e+000  8.7783e-004
